depth,loi,co3
223.40000000008357,7.783251231527151,17.150738916256167
223.60000000008355,7.8172588832487175,14.083248730964492
223.80000000008354,7.947598253275051,10.333624454148657
224.00000000008356,5.925432756324931,23.17976031957378
224.20000000008355,7.297605473204105,17.833523375142555
224.40000000008357,5.832449628844076,11.393425238600289
224.60000000008355,5.6423611111110725,11.333333333333353
224.80000000008354,4.838709677419257,18.425806451613045
225.00000000008356,6.532066508313515,13.729216152018871
225.20000000008355,5.6349873843566165,11.781328847771208
225.40000000008357,5.827338129496494,14.871942446043088
225.60000000008355,7.0983810709838515,13.041095890410936
225.80000000008354,6.646525679758201,17.393756294058498
226.00000000008356,6.781115879828231,9.80600858369095
226.20000000008355,5.828779599271403,18.950819672131196
226.40000000008357,6.362007168458759,12.673835125448152
226.60000000008355,7.738095238095393,7.60952380952362
226.80000000008354,6.934812760055575,5.847434119278553
227.00000000008356,6.423473433782679,8.304520222045996
227.20000000008355,5.624483043837852,14.961124896608874
227.40000000008357,5.819730305181029,15.154009936124908
227.60000000008355,5.990469707283935,14.44247787610609
227.80000000008354,5.617977528089839,15.790262172284772
228.00000000008356,5.1324503311259235,19.814569536423857
228.20000000008355,6.026785714285805,8.398809523809355
228.40000000008357,5.5335968379446365,16.664031620553345
228.60000000008355,5.086013462976912,22.4801795063575
228.80000000008354,5.935386927122513,16.348610067618356
229.00000000008356,5.24425287356325,21.005747126436777
229.20000000008355,5.327413984461715,17.81132075471677
229.40000000008357,5.97014925373144,15.948827292110781
229.60000000008355,5.112651646447078,20.388214904679383
229.80000000008354,5.134474327628273,22.167889160554346
230.00000000008356,4.812030075187974,19.428571428571377
230.20000000008355,4.901243599122181,21.09144111192391
230.40000000008357,5.17051705170514,21.694169416941772
230.60000000008355,5.367965367965391,20.723809523809436
230.80000000008354,6.3444108761329066,14.79154078549845
231.00000000008356,5.182926829268308,17.138211382113898
231.20000000008355,4.874651810584979,19.13091922005588
231.40000000008357,5.16129032258065,24.42150537634407
231.60000000008355,4.968383017163482,17.322493224932263
231.80000000008354,5.489260143198018,13.848846459824998
232.00000000008356,6.216053108026539,14.117079058539577
232.20000000008355,5.196182396606522,20.479321314952468
232.40000000008357,5.4294975688816995,18.51539708265814
232.60000000008355,5.440900562851763,19.009380863039507
232.80000000008354,5.819672131147516,12.373770491803345
233.00000000008356,6.292134831460651,14.669662921348337
233.20000000008355,6.2753036437246905,7.0661268556005314
