sample_no,0 1–5,0 6–10,0 11–15,0 16–20,0 21–25,0 26–30,0 31–35,0 36–40,0 41–45,0 U,1 6–10,1 11–15,2 1–5,2 6–10,2 11–15,3 1–5,3 6–10,3 11–15,3 16–20,3 21–25,3 26–30,3 31–35,3 U,4 1–5,4 6–10,4 11–15,4 16–20,4 21–25,4 26–30,4 31–35,4 36–40,4 U,5 1–5,5 6–10,5 11–15,5 16–20,5 21–25,5 26–30,5 31–35,5 36–40,5 U,6 11–15,6 16–20,6 21–25,6 26–30,6 31–35,6 U,7 21–25,7 26–30,U 1–5,U 6–10,U 11–15,U 16–20,U 21–25,U 26–30,U 31–35,U 36–40,U U
317,0,3,7,0,0,0,0,0,0,1,0,0,0,1,0,52,104,29,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,3,38,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,7,1,0,0,0,0,0,1,0,0,0,0,0,72,94,18,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,49,103,24,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,43,104,21,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,39,114,8,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,0,1,10,4,0,0,0,0,0,2,0,0,0,0,0,16,47,21,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,3,22,3,0,0,0,0,0,3,0,0,0,0,0,37,122,39,1,0,0,0,10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,31,111,23,2,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,0,9,12,6,0,0,0,0,0,3,0,0,0,0,0,37,96,38,6,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,6,11,5,0,0,0,0,0,4,0,0,0,0,0,24,56,12,1,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
369,0,5,8,5,0,0,0,0,0,2,0,0,0,0,0,28,78,16,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,64,73,18,0,0,0,0,10,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,73,78,12,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,0,3,5,1,0,0,0,0,0,2,0,0,0,0,0,33,78,21,1,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
385,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,61,133,39,0,0,0,0,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,2,8,3,0,0,0,0,0,3,0,0,1,0,0,88,91,16,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
393,0,6,9,0,0,0,0,0,0,1,0,0,0,0,1,49,114,17,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,74,88,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
401,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,55,101,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,2,5,2,0,0,0,0,0,2,0,0,0,0,0,63,71,31,3,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,35,94,14,0,0,0,0,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,52,103,19,1,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,52,109,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,51,97,24,2,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
